FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL0310810,Cook,Evanston,city,Evanston (PWS),4/10/19 13:23,2018,14597,7,14590,11654,0,1133,196,0,1226,388,0
IL1570250,Randolph,Evansville,village,Evansville-Wtp (PWS),4/4/19 12:39,2018,441,0,441,0,377,0,1,0,63,0,0
IL0310840,Cook,Evergreen Park,village,Evergreen Park (PWS),4/8/19 13:17,2018,7010,0,7010,6666,0,67,0,0,153,70,54
IL1050350,Livingston,Fairbury,city,Fairbury-Wtp (PWS),3/13/19 15:16,2018,1736,0,1736,11,620,100,149,0,806,0,50
IL1910100,Wayne,Fairfield,city,Fairfield (PWS),4/14/19 20:06,2018,3005,5,3000,9,0,0,10,50,2921,0,15
IL1830250,Vermilion,Fairmount,village,Fairmount (PWS),4/26/19 20:57,2018,295,0,295,0,0,0,0,0,295,0,0
IL0570450,Fulton,Fairview,village,Fairview (PWS),4/11/19 10:30,2018,240,0,240,0,100,0,120,0,0,0,20
IL0510150,Fayette,Farina,village,Farina (PWS),4/11/19 8:48,2018,259,0,259,0,0,0,0,0,136,0,123
IL0390150,DeWitt,Farmer City,city,Farmer City (PWS),4/13/19 19:31,2018,990,0,990,12,120,0,30,0,450,0,378
IL1350200,Montgomery,Farmersville,village,Farmersville (PWS),4/15/19 12:12,2018,367,0,367,0,0,0,6,46,227,0,88
IL0570500,Fulton,Farmington,city,Illinois American - Farmington (PWS),3/21/19 13:53,2018,1039,0,1039,0,974,0,1,0,39,0,25
IL1630550,St. Clair,Fayetteville,village,Fayetteville (PWS),3/25/19 14:53,2018,139,1,138,0,1,0,0,0,128,0,10
IL0830150,Jersey,Fieldon,village,Fieldon (PWS),5/9/19 17:47,2018,140,0,140,0,0,140,0,0,0,0,0
IL1350250,Montgomery,Fillmore,village,Fillmore (PWS),4/11/19 9:21,2018,192,0,192,0,192,0,0,0,0,0,0
IL1730100,Shelby,Findlay,village,Findlay (PWS),4/12/19 9:47,2018,375,0,375,0,0,0,0,0,370,0,5
IL0190150,Champaign,Fisher,village,Illinois American - Fisher (PWS),4/12/19 8:30,2018,888,0,888,0,888,0,0,0,0,0,0
IL1830300,Vermilion,Fithian,village,Fithian (PWS),4/26/19 20:58,2018,220,0,220,0,0,0,0,0,220,0,0
IL1050400,Livingston,Flanagan,village,Flanagan (PWS),4/16/19 12:14,2018,520,0,520,15,80,0,200,0,75,0,150
IL0330050,Crawford,Flat Rock,village,Flat Rock (PWS),3/20/19 15:04,2018,185,0,185,0,0,0,0,0,183,0,2
IL0250100,Clay,Flora,city,Flora (PWS),3/22/19 8:42,2018,2752,2,2750,0,736,1515,44,0,420,0,37
IL0310870,Cook,Flossmoor,village,Flossmoor (PWS),5/8/19 15:59,2018,3746,1,3745,119,3340,154,133,0,0,0,0
IL1250010,Mason,Forest City,village,Forest City (PWS),3/18/19 10:21,2018,105,0,105,0,0,0,0,0,0,0,105
IL0310900,Cook,Forest Park,village,Forest Park (PWS),3/29/19 10:10,2018,3427,0,3427,2755,0,0,0,0,516,156,0
IL0310930,Cook,Forest View,village,Forest View (PWS),4/8/19 12:44,2018,298,0,298,166,41,88,3,0,0,0,0
IL1050450,Livingston,Forrest,village,Forrest (PWS),4/12/19 11:32,2018,492,0,492,0,0,0,152,0,290,0,50
IL1410200,Ogle,Forreston,village,Forreston (PWS),4/30/19 14:10,2018,754,0,754,252,0,241,3,0,10,0,248
IL1150200,Macon,Forsyth,village,Forsyth (PWS),3/27/19 14:38,2018,1309,0,1309,0,0,775,0,0,534,0,0
