"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0195500","Champaign","University of Ilinois - Urbana Champaign (PWS)","5/11/2020 11:00:06 AM","2019","277","277","0","0","277","0","0","0","0","0","0"
"IL0610450","Greene","Patterson (Inc As Wilmington) (PWS)","5/11/2020 10:34:31 AM","2019","120","0","120","0","3","1","0","0","0","0","116"
"IL1710250","Scott","Manchester (PWS)","5/11/2020 10:33:11 AM","2019","120","0","120","0","74","0","2","0","29","0","15"
"IL0610350","Greene","Roodhouse (PWS)","5/11/2020 10:30:56 AM","2019","936","3","933","3","154","0","32","0","576","0","171"
"IL0610400","Greene","White Hall (PWS)","5/8/2020 11:58:31 AM","2019","1114","0","1114","20","888","0","46","0","7","0","153"
"IL0670550","Hancock","Plymouth (PWS)","5/7/2020 4:09:24 PM","2019","262","0","262","0","50","0","20","0","191","0","1"
"IL0050250","Bond","Smithboro (PWS)","5/7/2020 9:50:36 AM","2019","72","0","72","0","0","0","0","0","0","0","72"
"IL0312760","Cook","Rosemont (PWS)","5/6/2020 10:45:34 AM","2019","743","0","743","0","0","498","0","0","0","245","0"
"IL1135150","McLean","Cropsey Community Water (PWS)","5/5/2020 11:30:23 AM","2019","35","0","35","0","0","0","0","0","0","0","35"
"IL1710350","Scott","Winchester (PWS)","5/5/2020 10:28:03 AM","2019","871","2","869","50","58","0","361","0","202","0","200"
"IL0570950","Fulton","Vermont (PWS)","5/5/2020 9:46:54 AM","2019","299","0","299","4","0","0","0","0","36","0","259"
"IL0312730","Cook","Rolling Meadows (PWS)","5/5/2020 8:01:48 AM","2019","6574","0","6574","0","0","4687","0","0","1823","64","0"
"IL1115730","McHenry","Prairie Ridge Association (PWS)","5/5/2020 2:49:01 AM","2019","62","0","62","0","0","0","0","0","62","0","0"
"IL1115080","McHenry","Johnsburg No. 2 (PWS)","5/5/2020 2:48:27 AM","2019","425","0","425","0","0","0","0","0","425","0","0"
"IL1110040","McHenry","Johnsburg No. 1 (PWS)","5/5/2020 2:47:44 AM","2019","42","0","42","0","0","0","0","0","42","0","0"
"IL0975700","Lake","Hilldale Manor Subdivision (PWS)","5/5/2020 2:44:51 AM","2019","139","0","139","0","0","0","0","0","139","0","0"
