GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1748333,"Mendota city, Illinois",7035,6448,91.7,63,0.9
1600000US1748359,"Menominee village, Illinois",235,211,89.8,9,3.8
1600000US1748424,"Meredosia village, Illinois",829,827,99.8,0,0
1600000US1748554,"Merrionette Park village, Illinois",2163,1745,80.7,185,8.6
1600000US1748606,"Metamora village, Illinois",3835,3620,94.4,21,0.5
1600000US1748632,"Metcalf village, Illinois",180,167,92.8,0,0
1600000US1748645,"Metropolis city, Illinois",6184,5538,89.6,441,7.1
1600000US1748671,"Mettawa village, Illinois",545,510,93.6,6,1.1
1600000US1748853,"Middletown village, Illinois",317,286,90.2,0,0
1600000US1748892,"Midlothian village, Illinois",14718,11926,81,1222,8.3
1600000US1749009,"Milan village, Illinois",5084,4514,88.8,351,6.9
1600000US1749048,"Milford village, Illinois",1320,1209,91.6,6,0.5
1600000US1749100,"Millbrook village, Illinois",337,321,95.3,0,0
1600000US1749178,"Mill Creek village, Illinois",53,53,100,0,0
1600000US1749191,"Milledgeville village, Illinois",1072,995,92.8,4,0.4
1600000US1749308,"Millington village, Illinois",651,651,100,0,0
1600000US1749347,"Mill Shoals village, Illinois",194,194,100,0,0
1600000US1749386,"Millstadt village, Illinois",3915,3893,99.4,22,0.6
